day,carFlex,ReqFlex,averageCPU,worstCaseCPU,MaxNumCar/s,averageNumCar/s
19,1.5,1.4,0.022758089570959393,0.08479186035037856,426,233.8931597222222
19,1.5,1.5,0.021001036086271817,0.07814098998278496,417,231.5651736111111
19,1.5,1.6,0.02032935970003614,0.06881206318757904,413,228.68777777777777
19,1.5,1.7,0.02064740773941259,0.0790854315400793,410,227.4469560185185
19,1.5,1.8,0.01968039330650552,0.07045553265197668,407,224.42769675925925
19,1.5,1.9,0.01977033031364089,0.074175875291985,416,225.39493055555556
19,1.5,2.0,0.01948960827512254,0.07889776227602852,424,223.66166666666666
19,1.5,2.1,0.019592888491098533,0.07261421038128901,410,223.04251157407407
19,1.5,2.2,0.019628308275768638,0.07188855589447485,412,222.55613425925927
19,1.5,2.3,0.020030192998313982,0.07239542330717086,400,220.9830902777778
19,1.5,2.4,0.01962158585737955,0.0755328684244887,410,221.40599537037036
19,1.5,2.5,0.02038938501036078,0.07066405405566911,411,221.59472222222223
19,1.5,2.6,0.01935380663375882,0.07648917966434965,402,218.71251157407409
19,1.5,2.7,0.018354939803127465,0.06722794212328154,403,218.5764814814815
19,1.5,2.8,0.019638040055807743,0.07499809122600709,389,219.20498842592593
19,1.5,2.9,0.018928672946512237,0.06904400314670056,397,218.8226736111111
19,1.5,3.0,0.019410212997427567,0.0696977979496296,393,218.23238425925925
20,1.1,1.1,0.011669962860053212,0.035157350251154185,256,160.10075231481483
20,1.1,1.2,0.012078894196500777,0.03700741630430571,268,156.63127314814815
20,1.1,1.3,0.011723763153482175,0.032286170924692215,247,151.9323263888889
20,1.1,1.4,0.01172004378441168,0.0368989851744459,260,150.75932870370372
20,1.1,1.5,0.010628659655615534,0.03191660683705777,248,147.65126157407408
20,1.1,1.6,0.010491616403263728,0.032292907770056445,240,145.40822916666667
20,1.1,1.7,0.01076413894221292,0.03340705366963448,242,144.75837962962962
20,1.1,1.8,0.010829718944732065,0.031019643999457003,240,143.61614583333332
20,1.1,1.9,0.01020781783108304,0.03318890820116849,236,143.07229166666667
20,1.1,2.0,0.01008707612419523,0.03142577953303771,233,140.7034837962963
20,1.1,2.1,0.009663999689905082,0.030109849075415696,249,140.73239583333333
